"","Dyads","mRWL","mRTS","T_AvgBri","T_Hue","T_Chrom","R_AvgBri","R_Hue","R_Chrom","B_AvgBri","B_Hue","B_Chrom","V_AvgBri","V_Hue","V_Chrom","var"
"54","TR-IL",-2,0,5,1,1,-2,-2,-3,0,-6,0,0,-3,1,"deg"
"55","TR-TW",-3,-2,2,3,1,2,0,-1,2,-4,6,3,4,3,"deg"
"56","IL-TW",-1,-2,-3,2,0,4,2,2,2,2,6,3,7,2,"deg"
"57","CO-IA",-0.5,0,0.0666666666666667,-0.266666666666667,0.1,-0.19047619047619,0.607142857142857,-0.261904761904762,0.0277777777777778,-0.0714285714285714,-0.0476190476190477,0.0547619047619047,-0.0666666666666667,0.0833333333333333,"transitivity"
"58","CO-UK",-0.333333333333333,-1,0.2,0,-0.0666666666666667,0.25,0.6,-0.0238095238095237,-0.166666666666667,0.547619047619048,0.285714285714286,-0.266666666666667,0.1,-0.333333333333333,"transitivity"
"59","CO-CR",0,0,0.0761904761904761,-0.666666666666667,0.171428571428571,-0.285714285714286,0.8,-0.357142857142857,0.0595238095238095,-0.285714285714286,0.285714285714286,0.0666666666666667,0.266666666666667,-0.0952380952380952,"transitivity"
"60","CO-RM",0,0,0.433333333333333,-0.0666666666666667,0.6,-0.119047619047619,0.7,0.142857142857143,0.19047619047619,0.0476190476190477,0.19047619047619,-0.266666666666667,0.6,0,"transitivity"
"61","CO-TR",0,-0.333333333333333,0.0761904761904761,0.0333333333333333,0.1,-0.152380952380952,0.666666666666667,-0.223809523809524,-0.0476190476190477,0.380952380952381,0.321428571428571,-0.0285714285714286,0,0.0595238095238095,"transitivity"
"62","CO-IL",0,0,-0.4,0.166666666666667,0.433333333333333,-0.142857142857143,0.1,-0.0238095238095237,-0.285714285714286,0.214285714285714,0,-0.219047619047619,-0.0428571428571429,-0.285714285714286,"transitivity"
"63","CO-TW",-0.5,-0.1,0.2,-0.666666666666667,-0.0666666666666667,0.380952380952381,0.666666666666667,0.30952380952381,0.566666666666667,0.380952380952381,0.857142857142857,0.566666666666667,0.6,0.266666666666667,"transitivity"
"64","IA-UK",0.166666666666667,-1,0.133333333333333,0.266666666666667,-0.166666666666667,0.44047619047619,-0.00714285714285717,0.238095238095238,-0.194444444444445,0.619047619047619,0.333333333333333,-0.321428571428571,0.166666666666667,-0.416666666666667,"transitivity"
"65","IA-CR",0.5,0,0.00952380952380949,-0.4,0.0714285714285715,-0.0952380952380952,0.192857142857143,-0.0952380952380952,0.0317460317460317,-0.214285714285714,0.333333333333333,0.011904761904762,0.333333333333333,-0.178571428571428,"transitivity"
"66","IA-RM",0.5,0,0.366666666666667,0.2,0.5,0.0714285714285714,0.0928571428571429,0.404761904761905,0.162698412698413,0.119047619047619,0.238095238095238,-0.321428571428571,0.666666666666667,-0.0833333333333333,"transitivity"
"67","IA-TR",0.5,-0.333333333333333,0.00952380952380949,0.3,0,0.0380952380952381,0.0595238095238095,0.0380952380952381,-0.0753968253968255,0.452380952380952,0.369047619047619,-0.0833333333333333,0.0666666666666667,-0.0238095238095237,"transitivity"
"68","IA-IL",0.5,0,-0.466666666666667,0.433333333333333,0.333333333333333,0.0476190476190477,-0.507142857142857,0.238095238095238,-0.313492063492063,0.285714285714286,0.0476190476190477,-0.273809523809524,0.0238095238095237,-0.369047619047619,"transitivity"
"69","IA-TW",0,-0.1,0.133333333333333,-0.4,-0.166666666666667,0.571428571428571,0.0595238095238095,0.571428571428571,0.538888888888889,0.452380952380952,0.904761904761905,0.511904761904762,0.666666666666667,0.183333333333333,"transitivity"
"70","UK-CR",0.333333333333333,1,-0.123809523809524,-0.666666666666667,0.238095238095238,-0.535714285714286,0.2,-0.333333333333333,0.226190476190476,-0.833333333333333,0,0.333333333333333,0.166666666666667,0.238095238095238,"transitivity"
"71","UK-RM",0.333333333333333,1,0.233333333333333,-0.0666666666666667,0.666666666666667,-0.369047619047619,0.1,0.166666666666667,0.357142857142857,-0.5,-0.0952380952380952,0,0.5,0.333333333333333,"transitivity"
"72","UK-TR",0.333333333333333,0.666666666666667,-0.123809523809524,0.0333333333333333,0.166666666666667,-0.402380952380952,0.0666666666666667,-0.2,0.119047619047619,-0.166666666666667,0.0357142857142857,0.238095238095238,-0.1,0.392857142857143,"transitivity"
"73","UK-IL",0.333333333333333,1,-0.6,0.166666666666667,0.5,-0.392857142857143,-0.5,0,-0.119047619047619,-0.333333333333333,-0.285714285714286,0.0476190476190477,-0.142857142857143,0.0476190476190477,"transitivity"
"74","UK-TW",-0.166666666666667,0.9,0,-0.666666666666667,0,0.130952380952381,0.0666666666666667,0.333333333333333,0.733333333333333,-0.166666666666667,0.571428571428571,0.833333333333333,0.5,0.6,"transitivity"
"75","CR-RM",0,0,0.357142857142857,0.6,0.428571428571429,0.166666666666667,-0.1,0.5,0.130952380952381,0.333333333333333,-0.0952380952380952,-0.333333333333333,0.333333333333333,0.0952380952380952,"transitivity"
"76","CR-TR",0,-0.333333333333333,0,0.7,-0.0714285714285715,0.133333333333333,-0.133333333333333,0.133333333333333,-0.107142857142857,0.666666666666667,0.0357142857142857,-0.0952380952380952,-0.266666666666667,0.154761904761905,"transitivity"
"77","CR-IL",0,0,-0.476190476190476,0.833333333333333,0.261904761904762,0.142857142857143,-0.7,0.333333333333333,-0.345238095238095,0.5,-0.285714285714286,-0.285714285714286,-0.30952380952381,-0.19047619047619,"transitivity"
"78","CR-TW",-0.5,-0.1,0.123809523809524,0,-0.238095238095238,0.666666666666667,-0.133333333333333,0.666666666666667,0.507142857142857,0.666666666666667,0.571428571428571,0.5,0.333333333333333,0.361904761904762,"transitivity"
"79","RM-TR",0,-0.333333333333333,-0.357142857142857,0.1,-0.5,-0.0333333333333333,-0.0333333333333333,-0.366666666666667,-0.238095238095238,0.333333333333333,0.130952380952381,0.238095238095238,-0.6,0.0595238095238095,"transitivity"
"80","RM-IL",0,0,-0.833333333333333,0.233333333333333,-0.166666666666667,-0.0238095238095237,-0.6,-0.166666666666667,-0.476190476190476,0.166666666666667,-0.19047619047619,0.0476190476190477,-0.642857142857143,-0.285714285714286,"transitivity"
"81","RM-TW",-0.5,-0.1,-0.233333333333333,-0.6,-0.666666666666667,0.5,-0.0333333333333333,0.166666666666667,0.376190476190476,0.333333333333333,0.666666666666667,0.833333333333333,0,0.266666666666667,"transitivity"
"82","TR-IL",0,0.333333333333333,-0.476190476190476,0.133333333333333,0.333333333333333,0.0095238095238096,-0.566666666666667,0.2,-0.238095238095238,-0.166666666666667,-0.321428571428571,-0.19047619047619,-0.0428571428571429,-0.345238095238095,"transitivity"
"83","TR-TW",-0.5,0.233333333333333,0.123809523809524,-0.7,-0.166666666666667,0.533333333333333,0,0.533333333333333,0.614285714285714,0,0.535714285714286,0.595238095238095,0.6,0.207142857142857,"transitivity"
"84","IL-TW",-0.5,-0.1,0.6,-0.833333333333333,-0.5,0.523809523809524,0.566666666666667,0.333333333333333,0.852380952380952,0.166666666666667,0.857142857142857,0.785714285714286,0.642857142857143,0.552380952380952,"transitivity"
