band,population,country,year,sex,ci1,rs,tail.mean,weight,date,t.avg.bright,t.hue,t.chrom,r.avg.bright,r.hue,r.chrom,b.avg.bright,b.hue,b.chrom,v.avg.bright,v.hue,v.chrom,band_x_pop,lat,long
2540-44578,colorado,USA,2008,F,171,4,76.5,17.75,52008,27.73717894,593.3433333,0.458042186,45.73481622,595.0633333,0.406347047,47.77268236,604.4033333,0.401756352,27.99706276,598.37,0.484171419,2540-44578 CO,40.0274,-105.2519
2540-44579,colorado,USA,2008,F,NA,NA,83.66666666500001,18.5,52008,7.625058087,665.09,0.589779489,28.82570956,636.4133333,0.475545118,29.9885116,607.4066667,0.441738756,30.94301235,617.7366667,0.433475835,2540-44579 CO,40.0274,-105.2519
2540-44580,colorado,USA,2008,M,171,4,89.75,19,52008,13.27130396,681.45,0.553883484,26.27637656,594.7566667,0.467134782,31.89157086,620.76,0.415573462,16.32918928,601.7766667,0.547449723,2540-44580 CO,40.0274,-105.2519
2540-44581,colorado,USA,2008,F,157,7,75,17.25,52008,36.32204156,614.3933333,0.454792656,31.22626607,598.3933333,0.490562454,40.26753046,588.0233333,0.432458008,21.72095343,639.1066667,0.533794991,2540-44581 CO,40.0274,-105.2519
2540-44582,colorado,USA,2008,F,143,5,81.83333333499999,20,52008,19.15312853,628.8233333,0.529159426,41.20863195,561.7533333,0.371356843,44.18545235,583.0933333,0.378362711,31.731335,589.3866667,0.447197306,2540-44582 CO,40.0274,-105.2519
2540-44583,colorado,USA,2008,F,NA,NA,79.75,18,52008,17.90142798,606.14,0.512882885,44.39118044,617.14,0.367971983,36.49912819,561.73,0.402482192,27.21515991,635.0666667,0.497670151,2540-44583 CO,40.0274,-105.2519
2540-44584,colorado,USA,2008,F,141,10,75,20.75,52208,20.90220981,607.7433333,0.518485815,39.51591254,583.7233333,0.428492434,43.69883625,617.78,0.392819198,38.46764714,624.1033333,0.44726691,2540-44584 CO,40.0274,-105.2519
2540-44585,colorado,USA,2008,F,147,7,78.5,21,52208,24.29264947,645.4366667,0.492366151,40.73401686,561.73,0.429599173,47.32628025,611.0966667,0.378756644,20.39946269,628.0966667,0.535711381,2540-44585 CO,40.0274,-105.2519
2540-44587,colorado,USA,2008,M,147,7,95.33333333499999,15,52208,9.676654482,688.49,0.609826954,35.31331264,625.7533333,0.426632792,25.3140661,623.74,0.480263804,18.18847772,676.03,0.546838658,2540-44587 CO,40.0274,-105.2519
2540-44588,colorado,USA,2008,F,143,7,84.08333333499999,21,52208,19.672668,670.0733333,0.521022381,44.30598247,562.06,0.398335321,33.22680387,618.79,0.388275401,25.28312285,596.38,0.43060445,2540-44588 CO,40.0274,-105.2519
2540-44589,colorado,USA,2008,F,139,4,80.5,21,52308,22.14112702,660.4366667,0.482867247,35.27424503,599.1133333,0.436939986,35.18391203,595.1433333,0.432218943,23.80916742,640.1433333,0.503886996,2540-44589 CO,40.0274,-105.2519
2540-44590,colorado,USA,2008,M,156,9,87.5,16.5,52308,14.92899449,687.8,0.566376237,23.00470038,595.4133333,0.532841473,15.94857503,669.8266667,0.480237287,16.39401853,656.82,0.566832546,2540-44590 CO,40.0274,-105.2519
2540-44591,colorado,USA,2008,M,154,4,84,16.5,52308,21.3512003,652.4533333,0.527933369,40.29457386,596.44,0.419215709,30.042054920000002,694.15,0.426712259,24.74798097,615.7866667,0.483292524,2540-44591 CO,40.0274,-105.2519
2540-44592,colorado,USA,2008,M,146,8,95.5,19.5,52308,17.6306024,621.82,0.484464456,24.75533484,646.1433333,0.495859879,18.09540694,604.4,0.511500798,18.94977466,614.4033333,0.503219441,2540-44592 CO,40.0274,-105.2519
2540-44593,colorado,USA,2008,F,142,8,71,21.5,60608,20.864334,630.74,0.479855555,30.06726924,621.82,0.487076986,24.65451494,614.3733333,0.472051675,25.5363991,631.76,0.428878273,2540-44593 CO,40.0274,-105.2519
2540-44594,colorado,USA,2008,M,165,8,85.66666666500001,17.5,52308,16.44472976,623.1,0.551216275,37.50978551,567.0933333,0.424447648,41.93814822,578.4466667,0.431945373,24.74049591,594.76,0.472143634,2540-44594 CO,40.0274,-105.2519
2540-44595,colorado,USA,2008,F,140,10,76,20.5,52308,14.99941012,670.1466667,0.542905014,38.93027875,621.82,0.448227458,35.87506577,592.0866667,0.431277141,29.83465715,621.5,0.490273807,2540-44595 CO,40.0274,-105.2519
2540-44596,colorado,USA,2008,F,NA,NA,74.5,17.5,52308,18.98943165,605.1333333,0.522050924,38.74543031,622.14,0.432214639,33.75313403,576.4433333,0.438342684,40.56497363,624.7233333,0.410702257,2540-44596 CO,40.0274,-105.2519
2540-44597,colorado,USA,2008,F,152,9,77,18,52308,15.34760825,659.7566667,0.520665681,34.44572008,599.4466667,0.414857806,37.54397813,618.4066667,0.41927698,36.73849341,628.3833333,0.423569371,2540-44597 CO,40.0274,-105.2519
